,코스피,음식료품,섬유의복,종이목재,화학,의약품,비금속광물,철강금속,기계,전기전자,의료정밀,운수장비,유통업,전기가스업,건설업,운수창고업,통신업,금융업
201901,2101.984090909091,4032.5704545454546,265.14863636363634,370.58681818181816,4888.694090909091,11438.959545454545,1714.3263636363636,4262.691818181818,809.8281818181819,15454.882727272727,2364.6954545454546,1498.9304545454545,400.0163636363637,1082.0631818181819,115.87954545454545,1380.800909090909,394.02409090909094,436.1709090909091
201902,2210.1988235294116,4052.049411764706,285.2758823529412,394.8705882352941,5216.19294117647,11539.430588235295,1870.6682352941177,4424.6994117647055,842.3770588235294,17160.057647058824,2721.415294117647,1524.9758823529412,410.9476470588236,1091.7511764705882,119.74,1425.9364705882351,374.84999999999997,453.97117647058826
201903,2161.9145,4060.1894999999995,299.469,392.8005,5171.925499999999,11159.7495,1696.157,4260.1050000000005,765.0695,16470.211499999998,2567.3085,1481.468,418.16450000000003,1069.216,109.92249999999999,1357.893,366.6005,449.1525
201904,2212.120454545455,4006.316363636364,320.5713636363636,401.75181818181824,5262.312272727272,11118.885909090908,1740.3063636363636,4399.903181818182,791.1204545454547,17226.296363636364,2678.8213636363635,1572.1404545454543,428.92,950.8759090909091,110.92727272727274,1425.4918181818182,357.3659090909091,456.1868181818182
201905,2086.8980952380953,3786.6014285714286,312.3757142857143,397.63142857142856,4809.841428571429,10134.718571428572,1644.3790476190475,4009.429523809524,745.342380952381,16033.987619047619,2695.7576190476193,1532.0690476190478,395.88190476190476,859.1609523809524,107.51285714285714,1436.8204761904763,367.34000000000003,437.847619047619
201906,2105.303157894737,3735.22052631579,297.76473684210526,400.17,4731.184210526316,10362.61947368421,1717.5221052631578,4091.501052631579,770.6884210526316,16394.668947368424,2694.463684210526,1592.756842105263,384.71,850.6331578947369,115.02368421052631,1430.2226315789474,367.67473684210523,437.89947368421053
201907,2079.48,3603.7400000000002,291.40478260869565,369.0469565217391,4699.544347826087,9609.982608695653,1614.0234782608695,4001.117826086957,742.8000000000001,16915.182608695653,2719.0765217391304,1570.2600000000002,370.3430434782608,863.4686956521739,104.44434782608695,1341.75,361.04434782608695,422.3739130434783
201908,1944.2376190476189,3255.7676190476186,275.25857142857143,353.7080952380952,4273.878095238096,8440.980952380953,1486.8504761904762,3608.455238095238,695.2390476190476,16109.555714285714,2612.964285714286,1521.0700000000002,341.4866666666667,831.4804761904762,92.81428571428572,1256.8728571428571,340.06380952380954,378.3147619047619
201909,2045.2052631578947,3407.884736842105,280.84999999999997,359.7794736842105,4495.856842105263,9058.40947368421,1568.9742105263158,3812.2705263157895,739.4452631578947,17302.52842105263,2641.31,1613.3510526315788,350.92263157894735,833.2157894736843,98.16,1278.2115789473685,344.1163157894737,392.2884210526316
201910,2065.747619047619,3406.4842857142858,278.52,345.1595238095238,4476.1,9977.377619047618,1494.3433333333332,3650.9695238095237,717.2180952380952,18001.62476190476,2563.142380952381,1558.7661904761906,345.36619047619047,831.2738095238095,95.79809523809524,1272.7466666666667,341.9009523809524,392.64428571428573
201911,2128.794761904762,3497.0109523809524,296.00857142857143,338.0957142857143,4557.913333333333,10494.76,1506.1761904761904,3605.5176190476186,694.7028571428572,18778.33523809524,2452.3909523809525,1555.1,361.3842857142857,871.9457142857143,95.3504761904762,1314.8638095238096,348.50333333333333,404.57142857142856
201912,2147.0135,3424.594,283.9205,327.678,4511.8665,10371.943000000001,1460.4630000000002,3688.1645,689.6485,19296.845999999998,2354.0345,1555.1955,361.883,886.1605,92.7495,1316.627,347.1895,410.829
202001,2203.4425,3425.335,283.055,335.5485,4553.405000000001,10897.26,1465.4180000000001,3624.671,687.46,21181.585,2339.0115,1516.0075000000002,368.0455,840.0799999999999,90.3665,1287.112,336.40250000000003,391.151
202002,2167.1235,3390.2254999999996,254.5165,344.818,4456.932,11231.616,1430.498,3409.7485,652.2745,21485.3405,2191.224,1474.2914999999998,353.9085,788.348,86.2385,1259.2514999999999,325.841,363.9915
202003,1786.7463636363636,2965.3586363636364,207.22681818181817,265.8872727272728,3593.484090909091,10571.295,1196.3568181818182,2703.794545454545,516.4404545454546,18031.49090909091,1660.111818181818,1068.979090909091,290.83,610.6927272727272,67.03454545454545,1084.885,278.3272727272727,284.05636363636364
202004,1849.589,3343.7095,221.102,299.258,3833.8370000000004,12511.594000000001,1272.5639999999999,2835.982,534.359,17734.015,1821.1455,1078.4344999999998,301.863,657.1859999999999,76.31800000000001,1206.041,288.876,293.134
202005,1965.1742105263156,3811.7036842105263,239.81578947368422,325.10210526315785,4126.696315789473,13409.785263157895,1410.6694736842105,2940.492105263158,578.4047368421053,18082.678947368422,2167.0926315789475,1125.1705263157894,328.2947368421053,694.4431578947368,82.19105263157896,1259.3905263157894,309.10052631578947,312.8021052631579
202006,2134.6968181818183,3991.644545454545,241.20909090909092,309.6577272727273,4417.514545454545,16511.296363636364,1545.0545454545454,3109.3050000000003,636.5504545454546,19579.368636363637,2189.0713636363635,1266.8704545454545,339.6209090909091,667.615,84.92636363636365,1357.2127272727273,308.5840909090909,340.1059090909091
202007,2195.9486956521737,4175.011739130435,229.98130434782607,302.5913043478261,4640.314347826087,17553.052173913045,1617.6704347826087,3143.8747826086956,662.7769565217392,20135.068695652175,2362.7730434782607,1293.32,328.65521739130435,624.9769565217391,85.27652173913043,1344.4752173913043,308.63347826086954,327.99739130434784
202008,2349.873,4303.9705,241.429,305.13800000000003,5474.741,18700.838,1802.8735000000001,3326.7239999999997,757.8065,20934.047,2306.077,1522.4615,334.40950000000004,645.2574999999999,86.467,1340.9775,324.5685,349.7185
202009,2371.5161904761903,4070.792857142857,246.62333333333333,322.46285714285716,5452.282857142857,18485.54238095238,1779.5085714285715,3186.9090476190477,824.9666666666666,21410.07476190476,2254.4309523809525,1612.7942857142857,338.0842857142857,653.7576190476191,86.69380952380952,1387.565238095238,324.7652380952381,345.2590476190476
202010,2357.821052631579,3897.902631578947,251.55894736842106,335.22,5422.047894736842,16648.286842105263,1694.0857894736844,3344.9563157894736,823.8436842105264,21865.312105263158,2336.6673684210527,1636.0521052631577,344.00631578947366,681.7926315789473,86.1457894736842,1518.8131578947368,318.9868421052632,346.9694736842105
202011,2504.1809523809525,3807.218571428571,252.4790476190476,354.3309523809524,5885.94619047619,18515.658571428572,1742.9333333333332,3621.067142857143,903.5995238095238,23327.07,2502.373333333333,1737.5714285714287,366.3595238095238,693.0933333333332,92.70857142857142,1697.1833333333332,315.0252380952381,373.05333333333334
202012,2755.7709523809526,3889.6642857142856,253.63666666666666,404.7961904761904,6375.3419047619045,20757.634761904763,2049.4619047619044,4051.7628571428572,953.0780952380952,27179.300000000003,2647.462857142857,1883.4538095238095,382.95428571428573,775.145238095238,103.21,1727.0228571428572,331.6347619047619,395.40523809523813
202101,3089.267,4121.0154999999995,268.29499999999996,392.7315,7270.860000000001,20388.7845,2348.974,4234.692,1015.5595,32294.423,2856.8495,2346.2115000000003,413.1255,805.143,115.151,1887.357,339.9605,415.383
202102,3092.411666666667,4186.786111111111,300.36888888888893,418.1588888888889,7598.308888888889,19225.907777777775,2591.0916666666667,4185.076666666667,1000.8655555555555,31649.387777777778,2954.8794444444447,2393.4016666666666,408.7872222222222,764.0427777777778,112.94611111111111,1978.865,341.25666666666666,407.94
202103,3032.4690909090914,4180.722272727273,321.72499999999997,415.7140909090909,7127.302272727273,17665.155,2614.0040909090912,4575.468181818182,1003.4759090909091,31015.074545454547,3117.2309090909093,2288.5463636363634,407.10090909090906,757.7290909090909,112.41409090909092,2109.0736363636365,350.735,414.89909090909094
202104,3165.083181818182,4228.48,355.37863636363636,469.07772727272726,7540.476818181818,18119.623181818184,2898.8631818181816,5195.723636363637,1121.1777272727272,31652.26090909091,3380.4945454545455,2330.9777272727274,421.4059090909091,781.995,124.09863636363637,2191.3245454545454,394.0377272727273,446.625
202105,3169.2005263157894,4431.1568421052625,390.0621052631579,473.91789473684213,7705.943684210526,18022.639473684212,2804.6910526315787,5770.905789473684,1137.4263157894736,30064.144210526316,3197.9926315789476,2317.6457894736845,434.63105263157894,797.3815789473684,131.25473684210527,2506.516842105263,423.5242105263158,475.1405263157895
202106,3259.14,4529.725909090909,422.2736363636364,479.175,7688.31,18185.96363636364,2821.724090909091,5417.369090909091,1333.8472727272726,30595.677272727273,3356.029090909091,2445.3922727272725,442.78909090909093,857.5386363636363,137.90772727272727,2629.185909090909,442.9636363636364,476.64045454545453
202107,3254.5731818181816,4432.283181818181,424.0531818181818,488.4513636363636,7635.193181818182,18559.94090909091,2898.1027272727274,5474.155909090909,1303.1981818181819,30553.156818181815,3403.169545454545,2372.1663636363633,433.29954545454547,830.8822727272727,138.65363636363637,2569.1354545454546,432.41499999999996,463.52000000000004
202108,3182.5009523809526,4293.669047619048,453.4,459.16380952380956,7316.223333333333,20308.559523809523,2831.062380952381,5333.608095238095,1208.2657142857145,29485.110476190475,3316.957142857143,2249.3338095238096,426.64571428571423,817.0742857142858,128.89285714285714,2434.407619047619,416.4161904761905,466.29
202109,3141.6994736842107,4244.496315789474,471.0968421052632,439.97,7270.296315789474,20030.61157894737,2948.27947368421,5539.5,1190.9947368421053,29086.19421052631,2871.5821052631577,2204.6873684210527,421.4005263157895,826.5494736842105,133.94315789473686,2460.47,426.0984210526316,465.8331578947368
202110,2989.873157894737,4094.6126315789475,505.9363157894737,408.6763157894737,7266.37947368421,17415.771578947366,2783.636842105263,5141.258421052632,1154.9642105263158,26978.026842105264,2710.664210526316,2152.8394736842106,400.67263157894735,838.8984210526315,127.46842105263158,2201.5621052631577,419.9431578947368,457.0126315789474
202111,2964.3018181818184,3866.712727272727,519.4495454545454,400.7040909090909,6682.20409090909,17199.275454545455,2734.6845454545455,4638.248181818181,1170.1499999999999,27807.26681818182,2920.1709090909094,2132.199090909091,379.57045454545454,801.0386363636363,121.35363636363637,2018.9686363636363,416.27000000000004,445.13863636363635
202112,2988.4940909090906,3807.1213636363636,497.17454545454547,399.79227272727275,6392.185454545454,17515.37909090909,2699.5131818181817,4646.155909090909,1106.3518181818183,29762.05681818182,3089.4640909090913,2097.7713636363637,374.89772727272725,770.0009090909091,117.66727272727272,2017.6804545454545,419.16409090909093,442.8068181818182
202201,2865.552,3755.9145,491.52049999999997,401.6035,6233.782499999999,15557.4935,2561.1695,4721.949,1068.234,29366.297,3060.956,2082.1225,361.96799999999996,757.579,113.2675,1926.289,407.7765,422.2715
202202,2724.0150000000003,3859.3644444444444,484.65722222222223,392.4422222222222,5825.959444444445,14336.971666666666,2382.056111111111,4603.313888888889,997.7238888888888,27584.430555555555,3175.4944444444445,1925.9605555555556,354.26666666666665,790.69,107.97611111111111,2018.5127777777775,406.4944444444444,418.1955555555556
202203,2698.7161904761906,3736.8838095238093,457.19904761904763,402.7476190476191,5530.910952380953,15239.225238095238,2456.265238095238,4861.6900000000005,1107.8695238095238,26158.415238095236,3150.1228571428574,1878.0423809523809,366.90714285714284,844.397619047619,122.67523809523809,2184.3290476190477,420.39571428571423,415.1295238095238
202204,2703.2428571428572,4023.2204761904763,458.97190476190474,419.2838095238095,5705.932857142857,15062.445238095237,2638.4095238095238,5042.668571428571,1104.4471428571428,25742.782857142854,2925.7404761904763,1981.6809523809525,372.46761904761905,798.1752380952381,116.36571428571428,2148.3980952380953,444.1504761904762,424.54857142857145
202205,2628.3385714285714,3949.154761904762,432.0195238095238,416.1361904761905,5630.763809523809,14555.422380952381,2557.3380952380953,4914.556666666666,1071.3428571428572,25258.196666666667,2807.3719047619047,1996.3457142857144,368.44,837.3290476190476,108.26333333333335,2197.0885714285714,436.14285714285717,402.8328571428571
202206,2474.9485,3756.8705,409.687,362.0605,5609.0485,14258.5565,2340.973,4430.4839999999995,982.8790000000001,23376.915,2508.6215,1967.0285,353.954,827.7495000000001,97.7665,2010.6045,421.6925,376.49699999999996
202207,2362.794761904762,3745.19,400.6204761904762,338.3880952380952,5109.720952380952,15042.870952380952,2121.705238095238,3934.8190476190475,943.2438095238094,22518.578095238096,2637.255238095238,1960.381904761905,339.67333333333335,793.4757142857142,91.60619047619048,1835.5085714285715,414.5133333333334,343.1657142857143
202208,2479.5713636363635,3836.512272727273,423.72590909090906,359.9940909090909,5587.889545454545,15532.129090909091,2576.8504545454543,4316.4345454545455,1049.9654545454546,23444.238181818182,2398.6381818181817,2091.780909090909,352.1281818181818,807.3704545454547,97.84181818181818,1858.1868181818181,413.1281818181818,357.26181818181817
202209,2333.9285,3731.046,409.5335,345.6035,5310.2365,13979.5785,2638.157,4235.852,952.075,22190.957000000002,2044.0579999999998,2038.9515,334.4875,757.0649999999999,87.92699999999999,1660.591,396.95300000000003,339.0455
202210,2230.271052631579,3563.814210526316,390.07631578947365,318.9521052631579,4899.422631578947,13878.79,2566.8684210526317,4140.282631578947,821.3410526315789,22501.043684210526,1893.094210526316,1808.2542105263158,320.46736842105264,706.3063157894736,75.16473684210527,1498.7536842105262,384.2463157894737,320.35842105263157
202211,2417.558636363636,3659.093636363636,418.7709090909091,345.3390909090909,5478.435909090909,14672.202272727272,2999.277272727273,4598.926818181818,951.2622727272727,24557.765,2106.2413636363635,1844.5900000000001,340.7613636363636,755.815,81.7259090909091,1627.8318181818183,396.65772727272724,346.26590909090913
202212,2405.325,3702.56375,425.6575,364.41125,5455.7175,14158.87125,2884.80125,4658.53625,952.1875,23811.4575,2150.985,1811.56125,343.22,802.89375,82.5325,1683.46125,401.16125,362.42875
