,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab
month,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212
BOK업종,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1차금속,0.08061002178649238,0.125,0.30434782608695654,0.4486486486486487,0.22458628841607564,0.4666666666666667,0.1273996509598604,0.2919254658385093,0.39303482587064675,0.052434456928838954,0.24615384615384617,0.28888888888888886,-0.022598870056497175,0.2328767123287671,0.24907063197026022,0.06320907617504051,0.32489451476793246,0.27696793002915454,0.42023346303501946,0.5120643431635389,0.6593059936908517,0.6651376146788991,0.5866666666666667,0.7714285714285715,0.5195822454308094,0.5447761194029851,0.6421052631578947,0.6525612472160356,0.7058823529411765,0.6190476190476191,0.6572769953051644,0.6932515337423313,0.6581196581196581,0.42592592592592593,0.425531914893617,0.7758620689655172,0.3890675241157556,0.4199134199134199,0.5529411764705883,0.5069033530571992,0.6994818652849741,0.5793103448275863,0.15436241610738255,0.4745098039215686,0.4108527131782946,0.023121387283236993,0.3827893175074184,0.55
가구,1.0,,1.0,1.0,0.0,0.6666666666666666,0.6266666666666667,0.5,1.0,0.8709677419354839,1.0,,0.68,0.6744186046511628,0.39805825242718446,0.5,0.6,0.7,0.8064516129032258,0.6962025316455697,0.3,0.37142857142857144,0.23741007194244604,0.3333333333333333,1.0,0.10638297872340426,0.8666666666666667,0.3333333333333333,0.6097560975609756,0.3333333333333333,0.8333333333333334,0.3076923076923077,0.09090909090909091,0.5294117647058824,0.5294117647058824,0.3333333333333333,,,0.4722222222222222,0.2,0.37777777777777777,,-0.25,0.3142857142857143,0.2222222222222222,0.6666666666666666,0.4339622641509434,0.5
가죽/가방/신발,0.2,,0.6,0.6,1.0,0.48717948717948717,,0.5555555555555556,0.2,1.0,1.0,1.0,1.0,,0.7142857142857143,0.6,0.0,0.8095238095238095,0.7142857142857143,0.6,,1.0,0.84,0.29411764705882354,1.0,,0.7391304347826086,1.0,0.9411764705882353,0.9245283018867925,0.6296296296296297,-1.0,0.8823529411764706,1.0,1.0,0.42857142857142855,0.6,1.0,0.8947368421052632,1.0,,0.7948717948717948,,1.0,1.0,,,1.0
건설업,0.480225988700565,0.5789473684210527,0.6132075471698113,0.5022421524663677,0.5661375661375662,0.6258064516129033,0.4,0.6106194690265486,0.6515151515151515,0.2555066079295154,0.45318352059925093,0.5581395348837209,0.3495440729483283,0.5956284153005464,0.05555555555555555,0.25326370757180156,0.5897435897435898,0.5925925925925926,0.3241758241758242,0.6883116883116883,0.5740740740740741,0.4715261958997722,0.6622222222222223,0.5414634146341464,0.6575342465753424,0.6521739130434783,0.609375,0.6378947368421053,0.7283950617283951,0.7636363636363637,0.524416135881104,0.7619047619047619,0.8015267175572519,0.6038338658146964,0.7142857142857143,0.7446808510638298,0.4859437751004016,0.6,0.7410071942446043,0.5846153846153846,0.3228346456692913,0.4915254237288136,0.48936170212765956,0.6842105263157895,0.4563106796116505,0.1921182266009852,0.42028985507246375,0.8125
고무/플라스틱,0.15862068965517243,0.281437125748503,0.7530864197530864,0.3978494623655914,0.3709677419354839,0.75,0.3931034482758621,0.0888030888030888,0.5217391304347826,0.48201438848920863,0.504424778761062,0.654320987654321,0.29545454545454547,0.2768361581920904,0.5333333333333333,0.14814814814814814,0.15918367346938775,0.6363636363636364,0.34513274336283184,0.49407114624505927,0.7322834645669292,0.6666666666666666,0.5906040268456376,0.7307692307692307,0.6,0.6067415730337079,0.5664335664335665,0.7230769230769231,0.5495978552278821,0.7614678899082569,0.6991150442477876,0.5670995670995671,0.7866666666666666,0.5339805825242718,0.5419847328244275,0.3333333333333333,0.5338345864661654,0.2831858407079646,0.7037037037037037,0.5866666666666667,0.38666666666666666,0.6164383561643836,0.6551724137931034,0.536144578313253,0.6344086021505376,0.379746835443038,0.45454545454545453,0.17647058823529413
교육서비스,0.5,0.6666666666666666,1.0,1.0,0.875,1.0,0.8125,0.4666666666666667,0.6,-0.45454545454545453,0.29411764705882354,,,0.375,-0.3333333333333333,0.3333333333333333,0.0,,0.0,0.2,1.0,-0.12,0.5714285714285714,,,0.5454545454545454,1.0,0.625,0.5,1.0,0.75,0.7647058823529411,1.0,0.42857142857142855,0.8260869565217391,,,-0.1111111111111111,1.0,0.44,0.6363636363636364,0.3076923076923077,-1.0,1.0,,1.0,0.8947368421052632,
금속가공,,0.2631578947368421,1.0,0.5,0.0,1.0,,0.2,,1.0,0.84,0.8181818181818182,-1.0,0.8333333333333334,0.6,,0.8461538461538461,1.0,,0.5882352941176471,,,0.8717948717948718,1.0,0.5121951219512195,1.0,0.2222222222222222,0.7619047619047619,1.0,0.6363636363636364,,,0.8709677419354839,0.8918918918918919,0.8571428571428571,0.9230769230769231,0.8666666666666667,0.7391304347826086,0.7468354430379747,1.0,0.8125,0.6538461538461539,0.8421052631578947,0.9,0.6521739130434783,1.0,0.7142857142857143,0.6
금융,0.2692867540029112,0.2463157894736842,0.38288288288288286,0.3881520778072502,0.43289224952741023,0.3432098765432099,0.44568527918781725,0.27170868347338933,0.45739910313901344,0.1414752116082225,0.3057384760112888,0.501779359430605,0.28820960698689957,0.26807563959955505,0.17073170731707318,0.2205128205128205,0.22615219721329047,0.46402877697841727,0.4225352112676056,0.506265664160401,0.5205811138014528,0.5026232948583421,0.4235388310648519,0.5987841945288754,0.5087040618955513,0.48723186925434114,0.5353535353535354,0.5666965085049239,0.612590799031477,0.5310344827586206,0.5496957403651116,0.6218579234972678,0.7464788732394366,0.6205016357688113,0.5477497255762898,0.5,0.5322033898305085,0.48577680525164113,0.6207792207792208,0.5041459369817579,0.5318066157760815,0.5190615835777126,0.33120340788072417,0.42824858757062145,0.4540229885057471,0.23498233215547704,0.34044616876818623,0.417910447761194
기타개인서비스,1.0,0.6190476190476191,,,,,,,,,,,,,0.5555555555555556,-0.6,-0.1891891891891892,0.5,0.5,0.3,,0.8604651162790697,0.32075471698113206,0.75,0.7142857142857143,0.5555555555555556,0.6363636363636364,,0.6528925619834711,0.6,0.75,-0.07692307692307693,,0.8461538461538461,0.8,0.7142857142857143,1.0,0.0,,0.0,0.8095238095238095,0.2,0.6428571428571429,1.0,1.0,,0.0,
기타기계/장비,0.6329896907216495,0.5787781350482315,0.6374269005847953,0.5797101449275363,0.5238095238095238,0.6296296296296297,0.540500736377025,0.6277227722772277,0.7058823529411765,0.5886075949367089,0.6640211640211641,0.6743362831858407,0.6555716353111433,0.6335483870967742,0.6995447647951442,0.4881516587677725,0.5733788395904437,0.5838926174496645,0.5474956822107081,0.7435897435897436,0.7413173652694611,0.6210191082802548,0.7457627118644068,0.7268588770864947,0.723342939481268,0.7390374331550802,0.8381962864721485,0.6408317580340265,0.7566628041714948,0.742296918767507,0.6733436055469953,0.7360248447204969,0.7725321888412017,0.6381766381766382,0.5372848948374761,0.8366606170598911,0.7728813559322034,0.6313043478260869,0.810320781032078,0.678030303030303,0.7676056338028169,0.7323420074349443,0.5977175463623395,0.6021080368906456,0.6075471698113207,0.6563307493540051,0.5866666666666667,0.782991202346041
기타제조업,0.4896551724137931,0.6727272727272727,0.616,0.4853801169590643,0.5099337748344371,0.6290322580645161,0.3727810650887574,0.308411214953271,0.5862068965517241,0.475,0.7590361445783133,0.6619718309859155,0.6559139784946236,0.44370860927152317,0.6164383561643836,0.3696969696969697,0.6363636363636364,0.8356164383561644,0.5078534031413613,0.6341463414634146,0.7719298245614035,0.75,0.7560975609756098,0.6992481203007519,0.7795275590551181,0.845360824742268,0.7647058823529411,0.7121212121212122,0.5416666666666666,0.7837837837837838,0.7340425531914894,0.6162790697674418,0.6410256410256411,0.5679012345679012,0.5284552845528455,0.8771929824561403,0.6256684491978609,0.6590909090909091,0.6785714285714286,0.6610169491525424,0.5351351351351351,0.6237623762376238,0.6140350877192983,0.6621621621621622,0.7106382978723405,0.6666666666666666,0.5823293172690763,0.6521739130434783
농업,,,,,,,,,0.7142857142857143,1.0,0.375,,,,,,,,,,1.0,,,,0.5757575757575758,,,0.813953488372093,,,,,,0.8888888888888888,,1.0,,,,,,,,0.7575757575757576,,,,
도매/소매,0.3163383545770568,0.24878048780487805,0.5526315789473685,0.3603707995365006,0.34213006597549483,0.4146341463414634,0.23482245131729668,0.32943469785575047,0.41843971631205673,0.3088888888888889,0.44387229660144184,0.5415617128463476,0.5348837209302325,0.4291497975708502,0.3492537313432836,0.24295010845986983,0.2599337748344371,0.5935334872979214,0.3744292237442922,0.329957805907173,0.5138888888888888,0.5389988358556461,0.564625850340136,0.7514792899408284,0.4680306905370844,0.4560669456066946,0.6732824427480916,0.5805243445692884,0.6669201520912548,0.6813417190775681,0.6503311258278146,0.4930966469428008,0.6075471698113207,0.5611814345991561,0.4165067178502879,0.5315315315315315,0.4348894348894349,0.45021645021645024,0.62,0.5691868758915835,0.5084459459459459,0.6310679611650486,0.46635182998819363,0.4317140238313474,0.5810473815461347,0.44554455445544555,0.5109090909090909,0.6037735849056604
목재/나무,0.7777777777777778,0.3333333333333333,,,,-0.14285714285714285,1.0,0.6,0.4722222222222222,0.0,,0.9069767441860465,,0.7142857142857143,-0.07142857142857142,-0.2,0.6111111111111112,0.0,0.4,0.7142857142857143,0.25925925925925924,1.0,0.75,1.0,1.0,,1.0,1.0,0.7241379310344828,,0.3684210526315789,0.6666666666666666,0.0,0.3333333333333333,0.75,,,,0.2,0.8064516129032258,0.8431372549019608,0.6,,1.0,-0.5,,0.875,
부동산업,1.0,0.5384615384615384,,0.47058823529411764,0.5,0.9259259259259259,,0.5555555555555556,0.6440677966101694,0.5416666666666666,0.7777777777777778,0.42857142857142855,0.6470588235294118,0.07692307692307693,0.3698630136986301,0.12280701754385964,0.5231788079470199,0.6470588235294118,0.5757575757575758,0.6842105263157895,0.8666666666666667,0.7692307692307693,0.6952380952380952,0.875,0.6818181818181818,0.30612244897959184,0.8823529411764706,0.7272727272727273,0.5492957746478874,0.68,0.8222222222222222,0.5714285714285714,0.41935483870967744,0.7333333333333333,0.6190476190476191,0.8222222222222222,0.8787878787878788,0.9130434782608695,0.8461538461538461,0.9090909090909091,0.8390804597701149,0.7073170731707317,0.5471698113207547,0.5,0.3939393939393939,0.5223880597014925,0.45714285714285713,0.6
비금속광물,0.36363636363636365,0.7037037037037037,0.6086956521739131,0.5510204081632653,0.2571428571428571,0.68,0.5909090909090909,0.037037037037037035,0.3142857142857143,-0.2727272727272727,0.4576271186440678,0.6,0.7872340425531915,0.631578947368421,0.52,0.40350877192982454,0.2777777777777778,0.6363636363636364,0.5510204081632653,0.6470588235294118,0.5833333333333334,0.47692307692307695,0.8235294117647058,1.0,0.4230769230769231,0.7739130434782608,0.7291666666666666,0.6565656565656566,0.5471698113207547,0.7536231884057971,0.6666666666666666,0.7798165137614679,0.4523809523809524,0.4594594594594595,0.4444444444444444,0.6428571428571429,0.5384615384615384,0.9534883720930233,0.5783132530120482,0.7727272727272727,0.8133333333333334,0.29411764705882354,0.5,0.3783783783783784,0.6,0.6,0.5652173913043478,0.8709677419354839
사업시설/사업지원/임대업,-0.14285714285714285,0.3333333333333333,0.5555555555555556,0.7714285714285715,0.5384615384615384,1.0,,0.3333333333333333,0.6666666666666666,0.4838709677419355,0.8461538461538461,1.0,0.3333333333333333,1.0,,0.5,0.6666666666666666,1.0,0.6,0.4,0.6,0.6,0.5675675675675675,,0.8,0.6296296296296297,,0.5,0.6210526315789474,0.8571428571428571,0.5348837209302325,0.4666666666666667,1.0,0.45614035087719296,0.38461538461538464,0.4925373134328358,0.8709677419354839,0.5833333333333334,0.8857142857142857,0.9215686274509803,0.7714285714285715,0.5,0.53125,0.575,0.6842105263157895,0.8461538461538461,0.7021276595744681,0.49295774647887325
석유정제/코크스,0.19003115264797507,0.2914285714285714,0.422680412371134,0.1925133689839572,0.25984251968503935,-0.05263157894736842,0.27638190954773867,0.40625,0.6086956521739131,0.3977272727272727,0.39805825242718446,-0.2682926829268293,-0.2,0.050505050505050504,-0.03225806451612903,-0.10317460317460317,-0.042105263157894736,0.38095238095238093,0.15254237288135594,0.42857142857142855,0.1320754716981132,-0.03614457831325301,0.20481927710843373,0.5625,0.35555555555555557,0.5384615384615384,0.6923076923076923,0.6518218623481782,0.5393258426966292,0.4358974358974359,0.601593625498008,0.42138364779874216,0.6727272727272727,0.5722543352601156,0.47560975609756095,0.09090909090909091,0.43902439024390244,0.012345679012345678,0.3023255813953488,0.36936936936936937,0.4444444444444444,0.6862745098039216,0.26666666666666666,0.3333333333333333,0.3888888888888889,0.10828025477707007,0.4088050314465409,1.0
섬유,0.8933333333333333,,,1.0,,0.5384615384615384,,,,,,,0.625,0.8,,1.0,0.5,1.0,,,,,0.9354838709677419,,0.92,1.0,0.6666666666666666,0.8297872340425532,1.0,0.6470588235294118,,0.5555555555555556,0.2727272727272727,,1.0,0.6363636363636364,0.7142857142857143,,0.92,1.0,0.3333333333333333,,,,0.15789473684210525,,0.8181818181818182,
숙박업,0.07692307692307693,1.0,1.0,0.1111111111111111,0.5,0.17647058823529413,-0.1111111111111111,0.3125,0.8333333333333334,-0.07692307692307693,0.8823529411764706,0.47368421052631576,0.5833333333333334,0.2,0.2727272727272727,0.25,,0.3684210526315789,0.0,,0.6666666666666666,0.25,0.3333333333333333,0.4117647058823529,0.3333333333333333,,0.3333333333333333,1.0,0.6082474226804123,0.8518518518518519,0.8947368421052632,0.7894736842105263,1.0,0.4444444444444444,0.8333333333333334,0.6666666666666666,0.52,0.8666666666666667,0.75,0.2857142857142857,0.3333333333333333,,0.6585365853658537,1.0,0.7142857142857143,1.0,,0.7142857142857143
식료품,0.6146788990825688,0.6,0.604221635883905,0.597254004576659,0.44789762340036565,0.5677966101694916,0.5640326975476839,0.46325878594249204,0.4406779661016949,0.45384615384615384,0.6122448979591837,0.7019607843137254,0.6501650165016502,0.5759036144578313,0.5966386554621849,0.7158469945355191,0.6889692585895117,0.7864476386036962,0.7297297297297297,0.7309941520467836,0.7318435754189944,0.6441441441441441,0.5508885298869144,0.6226415094339622,0.7507418397626113,0.6532663316582915,0.6866359447004609,0.5843373493975904,0.5497553017944535,0.6426666666666667,0.5539568345323741,0.5387387387387388,0.6911764705882353,0.4358974358974359,0.6060606060606061,0.811965811965812,0.6390532544378699,0.6483516483516484,0.5875486381322957,0.34502923976608185,0.6438356164383562,0.6666666666666666,0.5951417004048583,0.5963302752293578,0.6923076923076923,0.6632653061224489,0.5783132530120482,0.6811594202898551
