,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab
어업,0.0,,0.42857142857142855,0.47368421052631576,1.0,0.5238095238095238,,1.0,0.25,-0.3333333333333333,,1.0,,,-0.3333333333333333,0.75,-0.14285714285714285,0.75,1.0,0.5,,,1.0,,1.0,1.0,,,1.0,,0.5,,,1.0,0.4,,,,,0.3333333333333333,,0.5555555555555556,,,,,,
예술/스포츠/여가,0.5153846153846153,0.3160919540229885,0.3717948717948718,0.5753424657534246,0.5108695652173914,0.45695364238410596,0.4046242774566474,0.4472049689440994,0.606425702811245,0.5970695970695971,0.5990220048899756,0.6774193548387096,0.7297297297297297,0.10416666666666667,0.29577464788732394,0.13286713286713286,0.3887240356083086,0.5636363636363636,0.2459016393442623,0.2964824120603015,0.5466666666666666,0.463768115942029,0.23076923076923078,0.5625,0.6153846153846154,0.5462184873949579,0.6857142857142857,0.5135135135135135,0.5087719298245614,0.610738255033557,0.578125,0.5390334572490706,0.6491228070175439,0.6780487804878049,0.6304347826086957,0.7209302325581395,0.3793103448275862,0.5889328063241107,0.66,0.6724137931034483,0.5413333333333333,0.4782608695652174,0.6682027649769585,0.6012861736334405,0.5909090909090909,0.6528925619834711,0.463768115942029,0.7377049180327869
운수/창고업,0.22459893048128343,0.2904761904761905,0.22705314009661837,0.44874715261959,0.18681318681318682,0.22054380664652568,0.24107142857142858,0.15030060120240482,0.35269709543568467,0.29850746268656714,0.26455906821963393,0.2714285714285714,0.4988814317673378,0.3149847094801223,0.058004640371229696,0.28217821782178215,0.30184804928131415,0.42641509433962266,0.2978723404255319,0.4304932735426009,0.4973821989528796,0.39285714285714285,0.2713472485768501,0.43558282208588955,0.4478114478114478,0.2538860103626943,0.4634146341463415,0.4010152284263959,0.4040632054176072,0.6176470588235294,0.524904214559387,0.39076923076923076,0.5,0.4095238095238095,0.32061068702290074,0.56,0.4878048780487805,0.24285714285714285,0.46875,0.42857142857142855,0.5590778097982709,0.18238993710691823,0.39923954372623577,0.3979933110367893,0.2897196261682243,0.2755417956656347,0.329700272479564,0.4
음료,0.3103448275862069,0.14285714285714285,0.6266666666666667,0.4049586776859504,0.6923076923076923,0.543859649122807,0.5529411764705883,0.25663716814159293,0.6111111111111112,0.5263157894736842,0.7272727272727273,0.5217391304347826,0.5357142857142857,0.5189873417721519,0.3902439024390244,0.3023255813953488,0.4065934065934066,0.52,0.4482758620689655,0.3018867924528302,0.3157894736842105,0.3684210526315789,0.44881889763779526,0.5263157894736842,0.3076923076923077,0.4700854700854701,0.574468085106383,0.6288659793814433,0.6496350364963503,0.5161290322580645,0.43448275862068964,0.26666666666666666,0.6226415094339622,0.6578947368421053,0.2857142857142857,0.42857142857142855,0.5882352941176471,0.8113207547169812,0.8117647058823529,0.8461538461538461,0.7319587628865979,0.7368421052631579,0.9101123595505618,0.8974358974358975,0.5769230769230769,0.45,0.5632183908045977,0.5806451612903226
의료/정밀기기,0.7267080745341615,0.5714285714285714,0.6903225806451613,0.6823529411764706,0.7033492822966507,0.627906976744186,0.8297872340425532,0.6896551724137931,0.6167664670658682,0.7444444444444445,0.7142857142857143,0.8333333333333334,0.9104477611940298,0.6162361623616236,0.7132352941176471,0.6426116838487973,0.6896551724137931,0.673469387755102,0.6862745098039216,0.7129411764705882,0.7115384615384616,0.7181818181818181,0.7894736842105263,0.7922077922077922,0.7846153846153846,0.8305084745762712,0.746031746031746,0.839622641509434,0.794392523364486,0.8,0.8781163434903048,0.7777777777777778,0.84,0.8661710037174721,0.7461706783369803,0.8372093023255814,0.8121546961325967,0.8362573099415205,0.8148148148148148,0.7853107344632768,0.7218934911242604,0.8068669527896996,0.7714285714285715,0.6426666666666667,0.7923875432525952,0.5875706214689266,0.7286012526096033,0.8
의료물질/의약품,0.648936170212766,0.5521064301552107,0.698876404494382,0.6740994854202401,0.6758793969849246,0.6271929824561403,0.47417840375586856,0.535593220338983,0.6564705882352941,0.643312101910828,0.6483050847457628,0.7043010752688172,0.7044854881266491,0.6290322580645161,0.5787610619469027,0.4913657770800628,0.6483516483516484,0.730593607305936,0.5607613469985359,0.7381258023106547,0.7995910020449898,0.6933701657458563,0.6265306122448979,0.7166212534059946,0.7470817120622568,0.5464362850971922,0.6902485659655831,0.6928327645051194,0.6740506329113924,0.6957746478873239,0.6647727272727273,0.6674364896073903,0.7362637362637363,0.6891385767790262,0.6893004115226338,0.7521367521367521,0.7322834645669292,0.6693227091633466,0.7873651771956857,0.7233009708737864,0.6673469387755102,0.7074235807860262,0.7425373134328358,0.7018633540372671,0.6558704453441295,0.7369402985074627,0.6328767123287671,0.6790123456790124
의복/모피,0.4576271186440678,0.391304347826087,0.5208333333333334,0.3888888888888889,0.48878923766816146,0.7575757575757576,0.5764705882352941,0.24324324324324326,0.7142857142857143,0.5972222222222222,0.6044776119402985,0.788235294117647,0.7857142857142857,0.6170212765957447,-0.008849557522123894,0.15151515151515152,0.366120218579235,0.5670103092783505,0.30726256983240224,0.30526315789473685,0.5855855855855856,0.5373134328358209,0.42857142857142855,0.6190476190476191,0.5333333333333333,0.6464088397790055,0.6923076923076923,0.6788321167883211,0.7393939393939394,0.9365079365079365,0.45064377682403434,0.4,0.13333333333333333,0.6506024096385542,0.6363636363636364,0.5909090909090909,0.5189873417721519,0.734375,0.6991150442477876,0.5862068965517241,0.5272727272727272,0.5,0.3617021276595745,0.5213675213675214,0.6338028169014085,0.41414141414141414,0.3582887700534759,0.4
인쇄/기록매체복제,0.7288135593220338,0.782608695652174,0.6727272727272727,0.47572815533980584,0.5,0.2,0.4222222222222222,0.16831683168316833,0.55,0.6666666666666666,0.7052631578947368,0.37142857142857144,0.4626865671641791,0.5294117647058824,0.23636363636363636,0.2805755395683453,0.46808510638297873,0.21052631578947367,0.855072463768116,0.7402597402597403,0.8260869565217391,0.7439024390243902,0.5454545454545454,0.7731958762886598,0.5779816513761468,0.6470588235294118,0.4642857142857143,0.6353591160220995,0.7596899224806202,0.7586206896551724,0.7014925373134329,0.7292576419213974,0.6785714285714286,0.5416666666666666,0.7842323651452282,0.8709677419354839,0.5862068965517241,0.7264957264957265,0.8157894736842105,0.7371428571428571,0.5777777777777777,0.2545454545454545,0.5238095238095238,0.6960486322188449,0.8305084745762712,0.6344086021505376,0.6688311688311688,0.7872340425531915
자동차,0.3977455716586151,0.46153846153846156,0.3968253968253968,0.5733333333333334,0.5920398009950248,0.453551912568306,0.5029411764705882,0.672514619883041,0.7719298245614035,0.5258620689655172,0.5324675324675324,0.5609756097560976,0.5372549019607843,0.46236559139784944,0.46107784431137727,0.15396578538102643,0.34104046242774566,0.41353383458646614,0.6041666666666666,0.711864406779661,0.71,0.6693877551020408,0.5854545454545454,0.5952380952380952,0.6179775280898876,0.6235955056179775,0.6830985915492958,0.4312267657992565,0.7098445595854922,0.5675675675675675,0.5836909871244635,0.3888888888888889,0.7573529411764706,0.44549763033175355,0.46511627906976744,0.7605633802816901,0.43790849673202614,0.3877551020408163,0.6223175965665236,0.45195729537366547,0.6610169491525424,0.5714285714285714,0.4834710743801653,0.75,0.480225988700565,0.4316109422492401,0.5189873417721519,0.8157894736842105
전기/가스/증기,0.14285714285714285,0.1267605633802817,0.43902439024390244,0.14035087719298245,-0.15527950310559005,-0.4230769230769231,0.13333333333333333,0.171875,0.23809523809523808,0.19424460431654678,0.17365269461077845,0.6551724137931034,0.0,0.13043478260869565,-0.24786324786324787,-0.4,0.0,-0.18181818181818182,-0.05,0.11864406779661017,0.09523809523809523,0.22388059701492538,0.16379310344827586,0.3968253968253968,0.0967741935483871,0.41818181818181815,0.2413793103448276,0.45454545454545453,0.32323232323232326,0.2413793103448276,0.15789473684210525,0.256198347107438,0.75,0.6727272727272727,0.3237410071942446,-0.5,0.6521739130434783,0.2743362831858407,0.125,0.2631578947368421,0.3076923076923077,-0.043478260869565216,0.25,0.2857142857142857,1.0,0.27058823529411763,0.27044025157232704,-1.0
전기장비,0.5463917525773195,0.4657534246575342,0.6954314720812182,0.43434343434343436,0.14516129032258066,0.6363636363636364,0.4342629482071713,0.45454545454545453,0.5833333333333334,0.4774774774774775,0.6206896551724138,0.7368421052631579,0.7090909090909091,0.7222222222222222,0.6785714285714286,0.46551724137931033,0.5609756097560976,0.5974025974025974,0.7799043062200957,0.543859649122807,0.6666666666666666,0.6521739130434783,0.6363636363636364,0.7696335078534031,0.6746031746031746,0.5384615384615384,0.8529411764705882,0.5,0.6351351351351351,0.7213114754098361,0.7266187050359713,0.9279279279279279,0.7383177570093458,0.7114754098360656,0.6477987421383647,0.837037037037037,0.8373983739837398,0.6819787985865724,0.75,0.6666666666666666,0.6788990825688074,0.6333333333333333,0.6615384615384615,0.9626168224299065,0.6983240223463687,0.6853932584269663,0.6349809885931559,0.8313253012048193
전문/과학/기술,0.6458752515090543,0.6178660049627791,0.6531165311653117,0.7667185069984448,0.6769596199524941,0.6075949367088608,0.726027397260274,0.6832579185520362,0.6572668112798264,0.7475083056478405,0.6616541353383458,0.7710843373493976,0.6252927400468384,0.5987158908507223,0.48623853211009177,0.48226950354609927,0.6114285714285714,0.542203147353362,0.48675034867503486,0.6166365280289331,0.7580071174377224,0.6554809843400448,0.6508728179551122,0.7402597402597403,0.7201166180758017,0.6943820224719102,0.7673130193905817,0.7021943573667712,0.710691823899371,0.77734375,0.8152492668621701,0.7431578947368421,0.7505882352941177,0.7718120805369127,0.7391304347826086,0.7283950617283951,0.676320272572402,0.6163522012578616,0.720125786163522,0.7233201581027668,0.67590618336887,0.7149220489977728,0.5852713178294574,0.6088328075709779,0.7070422535211267,0.6894117647058824,0.628482972136223,0.6470588235294118
전자/영상/통신장비등,0.26534066864155736,0.41713370696557245,0.3827618164967563,0.43092583616093066,0.47198275862068967,0.519893899204244,0.41085899513776336,0.5087040618955513,0.5299760191846523,0.48625180897250364,0.6032482598607889,0.6621297037630104,0.4789995280792827,0.5275080906148867,0.35911602209944754,0.33596271064897815,0.3877551020408163,0.5812883435582822,0.5501453488372093,0.6743755781683626,0.6888633754305397,0.6547388781431335,0.6370192307692307,0.7082728592162555,0.6302943287867911,0.6614759647935003,0.658498023715415,0.6157337367624811,0.648590021691974,0.6755162241887905,0.666955017301038,0.6914675767918089,0.6940160394818014,0.4766277128547579,0.6365781710914454,0.7529411764705882,0.5045607297167547,0.5937106918238994,0.6938775510204082,0.5239417071478141,0.6472457627118644,0.518588531821046,0.342477496785255,0.6213903743315508,0.38837920489296635,0.3397190293742018,0.5065879145842799,0.5286624203821656
정보통신업,0.5402504472271914,0.5144508670520231,0.668724279835391,0.48028311425682507,0.6120469627360898,0.6275071633237822,0.6429143314651722,0.6575963718820862,0.7240740740740741,0.678,0.6693818878773359,0.7595419847328244,0.6372795969773299,0.48848484848484847,0.5388471177944862,0.5892034233048058,0.6123467998184294,0.6887550200803213,0.7253774263120057,0.7145548751766369,0.7562437562437563,0.655223880597015,0.7146331576813945,0.771513353115727,0.7491486946651532,0.6687737041719343,0.7458563535911602,0.7172774869109948,0.6853002070393375,0.7316129032258064,0.6990990990990991,0.6824034334763949,0.7118847539015606,0.6881287726358148,0.7177508269018743,0.7834394904458599,0.6308724832214765,0.6225,0.6536502546689303,0.6209439528023599,0.5142675967025999,0.6292682926829268,0.42628774422735344,0.5047619047619047,0.5911949685534591,0.36980306345733044,0.46090335114133074,0.5413533834586466
조선/기타운수,0.45,0.40350877192982454,0.7142857142857143,0.5011037527593819,0.42346938775510207,0.5909090909090909,0.28421052631578947,0.6547619047619048,0.6257309941520468,0.4550408719346049,0.46368715083798884,0.6666666666666666,0.3244444444444444,0.3981042654028436,0.03676470588235294,0.09146341463414634,0.2737752161383285,0.3767441860465116,0.3273809523809524,0.16475095785440613,0.22279792746113988,0.45098039215686275,0.5223880597014925,0.7227722772277227,0.44654088050314467,0.2838427947598253,0.4405594405594406,0.6862745098039216,0.5100864553314121,0.6578947368421053,0.42953020134228187,0.5805471124620061,0.7293233082706767,0.31736526946107785,0.48623853211009177,0.6808510638297872,0.6149068322981367,0.5414364640883977,0.5402298850574713,0.42424242424242425,0.6222222222222222,0.4608695652173913,0.6212121212121212,0.5161290322580645,0.7106382978723405,0.5486381322957199,0.5209876543209877,0.7037037037037037
펄프/종이,0.0,0.7692307692307693,-0.6,0.3333333333333333,-0.29411764705882354,0.3333333333333333,0.16666666666666666,0.3333333333333333,-0.3333333333333333,0.45454545454545453,-1.0,,,0.24444444444444444,,0.4482758620689655,0.5,0.4,0.3076923076923077,0.5454545454545454,0.2459016393442623,0.14285714285714285,0.1566265060240964,0.75,0.8666666666666667,0.17647058823529413,0.5757575757575758,0.3157894736842105,0.4909090909090909,1.0,0.6923076923076923,1.0,0.8,0.75,0.6363636363636364,0.3333333333333333,0.8461538461538461,0.5714285714285714,0.6363636363636364,0.5,0.85,0.4,0.8378378378378378,0.5121951219512195,1.0,0.5,0.6875,
하수/폐기물처리업,0.7692307692307693,1.0,0.7307692307692307,0.6666666666666666,0.5102040816326531,0.96,1.0,0.8378378378378378,0.7777777777777778,,0.6842105263157895,,0.8,1.0,0.6,0.6,1.0,0.7037037037037037,1.0,0.625,1.0,0.8,0.9285714285714286,0.9148936170212766,0.8,0.7777777777777778,0.7272727272727273,,0.625,0.38461538461538464,1.0,,0.7142857142857143,0.5238095238095238,1.0,,0.9354838709677419,1.0,,0.8245614035087719,0.7288135593220338,0.25,0.8666666666666667,0.75,,0.4,0.8571428571428571,
화학물질/제품,0.3554301833568406,0.46119307248236047,0.47641509433962265,0.4673721340388007,0.4451754385964912,0.4914572864321608,0.4043555032371984,0.3502722323049002,0.41012658227848103,0.38233310856372216,0.4167664670658683,0.516295025728988,0.3755795981452859,0.3420888055034397,0.35289323553382235,0.42915254237288136,0.42231348391512663,0.5272407732864675,0.48717948717948717,0.585379159847245,0.5993000874890638,0.5790378006872853,0.5523809523809524,0.6989966555183946,0.6613832853025937,0.5525902668759811,0.7340101522842639,0.6852103120759837,0.7240618101545254,0.6482164821648216,0.535142658315936,0.5430916552667578,0.5473145780051151,0.45691056910569106,0.5124732715609408,0.6853448275862069,0.3299492385786802,0.4142335766423358,0.5863945578231292,0.5095057034220533,0.4315496872828353,0.6256684491978609,0.4007017543859649,0.546142208774584,0.7447619047619047,0.39173553719008264,0.448227936066713,0.7714285714285715
