,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab
quarter,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
BOK업종,,,,,,,,,,,,,,,,
1차금속,0.13032886723507917,0.3562753036437247,0.21283422459893048,0.14101184068891282,0.145748987854251,0.17627401837928153,0.5116279069767442,0.6532846715328468,0.5552913198573127,0.6579572446555819,0.6657223796033994,0.4746987951807229,0.43820224719101125,0.5656565656565656,0.2924187725631769,0.2818181818181818
가구,1.0,0.5294117647058824,0.5964912280701754,0.8918918918918919,0.5306122448979592,0.6119402985074627,0.6615384615384615,0.2677595628415301,0.30158730158730157,0.5824175824175825,0.36,0.5,0.4722222222222222,0.36,0.25,0.4603174603174603
가죽/가방/신발,0.4,0.52,0.4782608695652174,1.0,0.7333333333333333,0.6744186046511628,0.625,0.6444444444444445,0.7428571428571429,0.9541984732824428,0.6888888888888889,0.8260869565217391,0.8461538461538461,0.8095238095238095,1.0,1.0
건설업,0.5238095238095238,0.5417721518987342,0.4775510204081633,0.35315985130111527,0.4124087591240876,0.37268128161888703,0.45686900958466453,0.5373993095512083,0.6474164133738601,0.6811594202898551,0.6233766233766234,0.664576802507837,0.5791962174940898,0.5173611111111112,0.4899598393574297,0.3438914027149321
고무/플라스틱,0.3333333333333333,0.49700598802395207,0.28861154446177845,0.5205724508050089,0.3464788732394366,0.2727272727272727,0.5212981744421906,0.6180904522613065,0.5934065934065934,0.6241830065359477,0.6639676113360324,0.5269922879177378,0.4188861985472155,0.49107142857142855,0.6014851485148515,0.4158878504672897
교육서비스,0.5483870967741935,0.90625,0.6923076923076923,0.0,0.18181818181818182,0.06666666666666667,0.3548387096774194,0.24528301886792453,0.7560975609756098,0.6170212765957447,0.7777777777777778,0.7333333333333333,0.0,0.4520547945205479,0.8,0.9130434782608695
금속가공,0.391304347826087,0.5625,0.2,0.8490566037735849,0.627906976744186,0.8709677419354839,0.5882352941176471,0.9122807017543859,0.47058823529411764,0.7543859649122807,0.8709677419354839,0.8974358974358975,0.7727272727272727,0.76,0.8024691358024691,0.7435897435897436
금융,0.2830370014416146,0.39938319198149574,0.3902097902097902,0.2685398433901428,0.2488938053097345,0.27341105678826627,0.4712018140589569,0.4760964045831687,0.5013943112102621,0.5761143818334735,0.6054919908466819,0.5743243243243243,0.5277924827951297,0.5179750550256786,0.39042357274401474,0.2929908576404005
기타개인서비스,0.6363636363636364,,,,0.5555555555555556,-0.12,0.3333333333333333,0.6598639455782312,0.6470588235294118,0.6507936507936508,0.23809523809523808,0.7727272727272727,0.42857142857142855,0.5625,0.7222222222222222,0.0
기타기계/장비,0.6135802469135803,0.5795677799607073,0.6244635193133047,0.6426011264720942,0.6611764705882353,0.547107438016529,0.6952699874424445,0.7071094082588335,0.765841376416282,0.7186963979416809,0.7225696418419557,0.670045045045045,0.7438894792773645,0.7329675354366713,0.6020100502512563,0.6388768898488121
기타제조업,0.5692307692307692,0.5336322869955157,0.38922155688622756,0.5923566878980892,0.5457413249211357,0.5670588235294117,0.6162046908315565,0.7427258805513017,0.8036072144288577,0.6421725239616614,0.6712328767123288,0.6441102756892231,0.6534839924670434,0.6091954022988506,0.662847790507365,0.6232464929859719
농업,,,0.7142857142857143,0.6153846153846154,,,1.0,,0.5757575757575758,0.813953488372093,,0.9333333333333333,,,0.7575757575757576,
도매/소매,0.3548668703622872,0.36341059602649006,0.31007751937984496,0.4074074074074074,0.4355188884064264,0.31018337885290675,0.384907091391733,0.5800524934383202,0.5194316757208525,0.637062937062937,0.571117877337973,0.4920361601377529,0.48257372654155495,0.5489769264257728,0.4698589140658401,0.48957298907646474
목재/나무,0.4074074074074074,-0.14285714285714285,0.4936708860759494,0.7358490566037735,0.08571428571428572,0.4117647058823529,0.3783783783783784,0.8620689655172413,1.0,0.7777777777777778,0.3333333333333333,0.5294117647058824,0.2,0.8043478260869565,0.0,0.875
부동산업,0.6,0.6521739130434783,0.6323529411764706,0.5418994413407822,0.3786407766990291,0.4594594594594595,0.7241379310344828,0.7278911564625851,0.5454545454545454,0.6101694915254238,0.6212121212121212,0.7142857142857143,0.8780487804878049,0.8133333333333334,0.4927536231884058,0.5031847133757962
비금속광물,0.5555555555555556,0.5223880597014925,0.2932330827067669,0.23529411764705882,0.6727272727272727,0.40869565217391307,0.5945945945945946,0.7363636363636363,0.688212927756654,0.6618075801749271,0.6431535269709544,0.5151515151515151,0.6425531914893617,0.6470588235294118,0.5,0.6257309941520468
사업시설/사업지원/임대업,0.3,0.7307692307692307,0.4666666666666667,0.6842105263157895,0.42857142857142855,0.6666666666666666,0.5,0.574468085106383,0.7402597402597403,0.6462585034013606,0.5384615384615384,0.44715447154471544,0.8,0.7515527950310559,0.5720164609053497,0.6030534351145038
석유정제/코크스,0.2580101180438449,0.2,0.36666666666666664,0.3333333333333333,-0.047619047619047616,-0.0371900826446281,0.16022099447513813,0.12637362637362637,0.4645161290322581,0.5785288270377733,0.5483870967741935,0.5114942528735632,0.3268765133171913,0.434878587196468,0.2966360856269113,0.2664576802507837
섬유,0.8933333333333333,0.6470588235294118,,,0.7222222222222222,0.8333333333333334,,0.9354838709677419,0.8421052631578947,0.8133333333333334,0.4,0.6923076923076923,0.875,0.6666666666666666,0.15789473684210525,0.8181818181818182
숙박업,0.1724137931034483,0.16923076923076924,0.3584905660377358,0.46938775510204084,0.4157303370786517,0.29411764705882354,0.5,0.3333333333333333,0.3333333333333333,0.735632183908046,0.9016393442622951,0.6111111111111112,0.7441860465116279,0.32,0.673469387755102,0.7948717948717948
식료품,0.6058128973660308,0.5245901639344263,0.4890154597233523,0.5940298507462687,0.6030150753768844,0.7281308999370674,0.730909090909091,0.5941080196399345,0.6953781512605042,0.5848484848484848,0.5800904977375566,0.5932203389830508,0.6267281105990783,0.5742128935532234,0.6226415094339622,0.6246246246246246
어업,0.3333333333333333,0.5454545454545454,0.3333333333333333,0.42857142857142855,-0.3333333333333333,0.4782608695652174,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,,0.5,,
예술/스포츠/여가,0.39528795811518325,0.512781954887218,0.4743729552889858,0.6129032258064516,0.34760705289672544,0.33248730964467005,0.3630573248407643,0.35384615384615387,0.62,0.5315568022440392,0.5638766519823789,0.6613756613756614,0.5711775043936731,0.5677083333333334,0.6193181818181818,0.5716753022452504
운수/창고업,0.25274725274725274,0.2980599647266314,0.2255892255892256,0.2766952455183164,0.29128630705394193,0.3235294117647059,0.40369967355821545,0.33723196881091616,0.3985611510791367,0.423728813559322,0.4613333333333333,0.397341211225997,0.391304347826087,0.47695202257761055,0.3811659192825112,0.30704225352112674
음료,0.4207650273224044,0.5315985130111525,0.4444444444444444,0.5957446808510638,0.47465437788018433,0.37777777777777777,0.3485342019543974,0.44144144144144143,0.4253731343283582,0.6148648648648649,0.4166666666666667,0.475,0.7378640776699029,0.7515527950310559,0.8264840182648402,0.5283842794759825
의료/정밀기기,0.6380368098159509,0.6733212341197822,0.7037037037037037,0.752542372881356,0.7459926017262639,0.6671575846833578,0.7073791348600509,0.7721518987341772,0.792336217552534,0.8108108108108109,0.8357142857142857,0.799554565701559,0.8195266272189349,0.7754749568221071,0.72829417773238,0.6774916013437849
의료물질/의약품,0.6342465753424658,0.6632152588555859,0.5429262394195888,0.6574074074074074,0.6291666666666667,0.610981308411215,0.6914402870322911,0.6658619024625785,0.6653333333333333,0.6859504132231405,0.6919354838709677,0.7041540020263425,0.7349869451697127,0.695844385499558,0.710670603121046,0.6838174273858921
의복/모피,0.45288753799392095,0.5059760956175299,0.5467625899280576,0.6338028169014085,0.41935483870967744,0.3446601941747573,0.37083333333333335,0.4916864608076009,0.632,0.7506849315068493,0.4094292803970223,0.6372549019607843,0.66875,0.5537190082644629,0.47720364741641336,0.3783783783783784
인쇄/기록매체복제,0.7378640776699029,0.4316546762589928,0.3333333333333333,0.627906976744186,0.42105263157894735,0.32038834951456313,0.7892561983471075,0.664488017429194,0.5555555555555556,0.7142857142857143,0.7136038186157518,0.7282608695652174,0.7101449275362319,0.5612903225806452,0.6754563894523327,0.6741071428571429
자동차,0.4085308056872038,0.5533553355335533,0.5866543095458758,0.5343422584400466,0.5116883116883116,0.2244467860906217,0.6648745519713262,0.6348645465253239,0.6354344122657581,0.5194123819517313,0.6036585365853658,0.5022026431718062,0.4752252252252252,0.5254237288135594,0.4978601997146933,0.493411420204978
전기/가스/증기,0.25,-0.09480122324159021,0.16923076923076924,0.22388059701492538,-0.13829787234042554,-0.07751937984496124,0.0888030888030888,0.2154696132596685,0.2777777777777778,0.33076923076923076,0.3211009174311927,0.40404040404040403,0.3565217391304348,0.2669039145907473,0.3006993006993007,0.25
전기장비,0.5791433891992551,0.3333333333333333,0.4576271186440678,0.5773584905660377,0.7077625570776256,0.5454545454545454,0.6713286713286714,0.6820349761526232,0.691089108910891,0.5824561403508772,0.7741935483870968,0.7228714524207012,0.7353951890034365,0.6644951140065146,0.7422037422037422,0.683206106870229
전문/과학/기술,0.6390858944050434,0.6931079323797139,0.6919973100201748,0.7216916780354706,0.567398119122257,0.5352657004830917,0.6091703056768559,0.6666666666666666,0.7238605898123325,0.7267637178051511,0.7762326169405815,0.7482014388489209,0.682024659312135,0.7078115682766846,0.6279461279461279,0.6560319042871385
전자/영상/통신장비등,0.3327648688978896,0.46968859406670355,0.4679316888045541,0.559700191737842,0.46339484891502736,0.40633608815426997,0.6175784753363228,0.6597105351733423,0.6450795947901592,0.6367961934972244,0.6817339755464987,0.5848170612404617,0.5920544417877506,0.559226050023596,0.44801306477953184,0.4183321847002068
정보통신업,0.5686155710390791,0.5792649478880966,0.6706572196432934,0.684851841595126,0.5473006438831105,0.6210258584145825,0.7271317829457364,0.7054228966748494,0.7185220051776888,0.7041266545548923,0.6937220908852114,0.7239075981074311,0.6342569269521411,0.5779376498800959,0.49475576865448007,0.4329004329004329
조선/기타운수,0.4932935916542474,0.48677766895200786,0.43243243243243246,0.48619447779111646,0.2731229597388466,0.23146067415730337,0.2481012658227848,0.5341772151898734,0.3747645951035782,0.5994694960212201,0.5473684210526316,0.46555323590814196,0.5581061692969871,0.5485996705107083,0.5905118601747815,0.5446927374301676
펄프/종이,0.4358974358974359,-0.05454545454545454,0.05747126436781609,0.14285714285714285,0.24444444444444444,0.4626865671641791,0.38562091503267976,0.35172413793103446,0.5510204081632653,0.5135135135135135,0.7831325301204819,0.6619718309859155,0.7662337662337663,0.6363636363636364,0.7111111111111111,0.5769230769230769
하수/폐기물처리업,0.7727272727272727,0.7142857142857143,0.8709677419354839,0.6842105263157895,0.7777777777777778,0.6862745098039216,0.8,0.872,0.7530864197530864,0.5172413793103449,0.7894736842105263,0.6153846153846154,0.9393939393939394,0.7419354838709677,0.8421052631578947,0.6666666666666666
화학물질/제품,0.425359477124183,0.46371681415929206,0.38387252535007244,0.41862955032119914,0.3558252427184466,0.4540991654393716,0.5601325757575758,0.5848849945235487,0.6429942418426103,0.6950475725786778,0.5408856289051888,0.5163061026800129,0.4296875,0.49636668529904976,0.5146699266503667,0.44805876180482684
