,names,parents,values,color
0,전자/영상/통신장비등,전산업,12320,-2.610202522326095
1,정보통신업,전산업,10533,-2.84881536051367
2,의료물질/의약품,전산업,7373,-2.47145236194972
3,전문/과학/기술,전산업,7204,-2.5456298352905264
4,화학물질/제품,전산업,6044,-3.0826754298255645
5,금융,전산업,5609,-3.6592637746389047
6,기타기계/장비,전산업,5486,-1.4618446822139994
7,도매/소매,전산업,4280,-2.736881172831347
8,자동차,전산업,3699,-3.3115896931812014
9,1차금속,전산업,2634,-2.818040159816203
10,의료/정밀기기,전산업,2502,-2.959315589441694
11,예술/스포츠/여가,전산업,1757,-3.4070129407021184
12,조선/기타운수,전산업,1648,-2.2765085925883755
13,식료품,전산업,1598,-3.349070472563765
14,전기장비,전산업,1466,-3.505743597715969
15,운수/창고업,전산업,1389,-3.215326286752655
16,인쇄/기록매체복제,전산업,1249,1.2649100810538647
17,기타제조업,전산업,1205,-3.228791158524945
18,건설업,전산업,950,-3.60870012508627
19,고무/플라스틱,전산업,944,-3.261529160918563
20,석유정제/코크스,전산업,662,-3.2834299188125367
21,부동산업,전산업,650,1.7898723201494051
22,의복/모피,전산업,643,-3.6544811229530256
23,전기/가스/증기,전산업,600,-3.516738457252099
24,음료,전산업,403,-3.6708896131729505
25,사업시설/사업지원/임대업,전산업,336,2.826302592291334
26,비금속광물,전산업,312,2.824742282769586
27,펄프/종이,전산업,307,-3.5799385226572378
28,금속가공,전산업,147,-3.866962142498717
29,교육서비스,전산업,144,-2.8886341379976237
30,섬유,전산업,137,5.8977953559114855
31,가구,전산업,113,4.6048013864264705
32,하수/폐기물처리업,전산업,87,-4.0208258652769455
33,숙박업,전산업,81,0.7215466550816472
34,목재/나무,전산업,63,inf
35,기타개인서비스,전산업,15,-4.605170185988092
36,가죽/가방/신발,전산업,5,2.3025850929940472
0,소프트웨어 개발 및 공급업,정보통신업,6341,-2.8092079561262993
1,전자부품 제조업,전자/영상/통신장비등,5031,-3.415389427464272
2,특수 목적용 기계 제조업,기타기계/장비,4553,-1.2870927018177098
3,의약품 제조업,의료물질/의약품,3588,-2.6142421679134142
4,기타 화학제품 제조업,화학물질/제품,3168,-2.949050418864166
5,자연과학 및 공학 연구개발업,전문/과학/기술,3077,-2.948839479509615
6,기타 금융업,금융,2982,-3.467668209758452
7,기초 의약물질 및 생물학적 제제 제조업,의료물질/의약품,2714,-2.5638225974377886
8,통신 및 방송 장비 제조업,전자/영상/통신장비등,2665,2.2082390614154157
9,기초 화학물질 제조업,화학물질/제품,2535,-3.1142738513188926
10,일차전지 및 축전지 제조업,전자/영상/통신장비등,2384,-1.1390147321018642
11,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보통신업,2170,-3.7474470293854143
12,자동차 신품 부품 제조업,자동차,2005,-0.9918102162038724
13,1차 철강 제조업,1차금속,1997,-0.18125528741496755
14,의료용 기기 제조업,의료/정밀기기,1974,-3.027451512379978
15,반도체 제조업,전자/영상/통신장비등,1667,-3.6637769644940588
16,자동차용 엔진 및 자동차 제조업,자동차,1646,-4.043107465518639
17,종합 소매업,도매/소매,1499,1.9063937956246255
18,기타 식품 제조업,식료품,1389,-3.397434088106043
19,전기 통신업,정보통신업,1282,3.2714250172313135
20,"영화, 비디오물, 방송프로그램 제작 및 배급업",예술/스포츠/여가,1280,-3.292462828007795
21,오디오물 출판 및 원판 녹음업,인쇄/기록매체복제,1240,-1.7411842139718483
22,광고업,전문/과학/기술,1204,-3.223967773635357
23,금융 지원 서비스업,금융,1110,-4.128473866759338
24,의료용품 및 기타 의약 관련제품 제조업,의료물질/의약품,1071,-1.600256886359718
25,기타 정보 서비스업,전문/과학/기술,961,-1.8757850410376593
26,일반 목적용 기계 제조업,기타기계/장비,933,-1.74946365589006
27,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,875,-3.630038954091003
28,선박 및 보트 건조업,조선/기타운수,832,-2.603029807041132
29,보험업,금융,790,-4.194651115264026
30,텔레비전 방송업,정보통신업,680,-4.039140007875005
31,석유 정제품 제조업,석유정제/코크스,662,-3.2834299188125367
32,부동산 임대 및 공급업,부동산업,650,1.7898723201494051
33,1차 비철금속 제조업,1차금속,637,-3.925011186877728
34,"항공기,우주선 및 부품 제조업",조선/기타운수,635,-2.581728553346431
35,"건축기술, 엔지니어링 및 관련 기술 서비스업",전문/과학/기술,631,-2.9993566630280073
36,기타 전문 도매업,도매/소매,621,-3.449347814574369
37,토목 건설업,건설업,530,-3.4766400301123834
38,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",의료/정밀기기,528,-2.625639555198516
39,봉제의복 제조업,의복/모피,509,-3.5096963855768424
40,해상 운송업,운수/창고업,491,3.107535269572364
41,기타 상품 전문 소매업,도매/소매,481,-3.351165752404658
42,항공 여객 운송업,운수/창고업,467,4.119318169036533
43,은행 및 저축기관,금융,420,3.545272409500672
44,플라스틱제품 제조업,고무/플라스틱,418,-3.6046738195806536
45,"구조용 금속제품, 탱크 및 증기발생기 제조업",기타제조업,404,-2.936488934735334
46,고무제품 제조업,고무/플라스틱,404,-2.5003473664245437
47,건물 건설업,건설업,394,-3.88393971859139
48,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",전문/과학/기술,373,-3.803953033607998
49,"내화, 비내화 요업제품 제조업",기타제조업,371,1.9773700108974668
50,기타 전기장비 제조업,전기장비,365,-3.3805105810104084
51,상품 중개업,도매/소매,342,-1.8192762908641542
52,전기업,전기/가스/증기,317,5.401151033103954
53,사진장비 및 광학기기 제조업,전자/영상/통신장비등,317,-3.9820668491610727
54,기계장비 및 관련 물품 도매업,도매/소매,304,5.042292613966947
55,"섬유, 의복, 신발 및 가죽제품 소매업",도매/소매,283,-3.4374808897007183
56,"그외 기타 전문, 과학 및 기술 서비스업",전문/과학/기술,282,3.3976197405984148
57,운송장비 임대업,사업시설/사업지원/임대업,280,2.5902671654458262
58,유원지 및 기타 오락관련 서비스업,예술/스포츠/여가,255,-3.728977204532282
59,연료용 가스 제조 및 배관공급업,전기/가스/증기,245,-3.834833366737016
60,기타 전문 서비스업,전문/과학/기술,240,
61,생활용품 도매업,도매/소매,239,-4.490836812050027
62,여행사 및 기타 여행보조 서비스업,예술/스포츠/여가,222,-3.31225463036524
63,기타 운송관련 서비스업,운수/창고업,220,-3.134859651682634
64,영상 및 음향기기 제조업,전자/영상/통신장비등,211,-3.4095383077406116
65,도로 화물 운송업,운수/창고업,209,-4.544910994469895
66,비알코올음료 및 얼음 제조업,음료,207,-3.6656652167871684
67,재 보험업,금융,202,-3.6834447744132084
68,알코올음료 제조업,음료,196,-3.641259565092695
69,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속광물,191,3.3183390014647713
70,화학섬유 제조업,화학물질/제품,182,-3.9955899020915537
71,기타 과학기술 서비스업,전문/과학/기술,177,-4.044140970255522
72,절연선 및 케이블 제조업,전기장비,177,-4.96832128940484
73,상품 종합 도매업,도매/소매,176,-3.4324499251662597
74,"펄프, 종이 및 판지 제조업",펄프/종이,173,-2.6402952088738036
75,무기 및 총포탄 제조업,기타제조업,155,-3.357876106786823
76,기타 금속 가공제품 제조업,금속가공,147,-3.866962142498717
77,"곡물가공품, 전분 및 전분제품 제조업",식료품,125,inf
78,합성고무 및 플라스틱 물질 제조업,고무/플라스틱,122,-4.071921859875603
79,전구 및 조명장치 제조업,기타제조업,121,
80,음·식료품 및 담배 도매업,도매/소매,118,-3.697071134524702
81,가구 제조업,가구,113,4.6048013864264705
82,철도장비 제조업,조선/기타운수,101,-4.170189591531919
83,담배 제조업,화학물질/제품,98,2.47913387070226
84,회사 본부 및 경영 컨설팅 서비스업,전문/과학/기술,97,4.552247784533749
85,신발 및 신발 부분품 제조업,의복/모피,89,-4.461102888394933
86,자동차 판매업,도매/소매,87,-4.1823133351680575
87,폐기물 처리업,하수/폐기물처리업,87,-4.0208258652769455
88,방적 및 가공사 제조업,섬유,85,
89,신탁업 및 집합투자업,금융,85,-3.494723439672979
90,그외 기타 운송장비 제조업,조선/기타운수,80,4.205370815415604
91,그외 기타 제품 제조업,기타제조업,79,-3.260653761767323
92,초등 교육기관,교육서비스,76,2.353878387381598
93,"골판지, 종이 상자 및 종이용기 제조업",펄프/종이,74,
94,전기 및 통신 공사업,전문/과학/기술,74,-2.2147543796210134
95,유리 및 유리제품 제조업,비금속광물,72,4.658525916655603
96,일반 및 생활 숙박시설 운영업,숙박업,71,-2.674062938814074
97,기타 교육기관,교육서비스,68,-3.1265025047371857
98,동물용 사료 및 조제식품 제조업,식료품,64,2.74330115057301
99,"비료, 농약 및 살균, 살충제 제조업",화학물질/제품,61,-2.3660984987163722
100,일반 교습 학원,정보통신업,60,6.019845839646207
101,기타 종이 및 판지 제품 제조업,펄프/종이,60,
102,운동 및 경기용구 제조업,기타제조업,59,-3.992290477661753
103,가전제품 및 정보통신장비 소매업,도매/소매,57,2.940689918125509
104,제재 및 목재 가공업,목재/나무,55,
105,기타 섬유제품 제조업,섬유,52,-3.4673371841667002
106,기타 비금속 광물제품 제조업,비금속광물,49,-4.058858363679032
107,가정용 기기 제조업,전기장비,49,0.7133498878774672
108,자동차 차체 및 트레일러 제조업,자동차,48,
109,컴퓨터 및 주변장치 제조업,전자/영상/통신장비등,45,-3.5102547592013083
110,전문디자인업,전문/과학/기술,42,1.897119984885882
111,"경비, 경호 및 탐정업",전문/과학/기술,41,4.095360306341936
112,"증기, 냉·온수 및 공기조절 공급업",전기/가스/증기,38,-3.34713016039188
113,자동차 부품 및 내장품 판매업,도매/소매,37,
114,산업용 기계 및 장비 임대업,사업시설/사업지원/임대업,33,-2.645529844120876
115,의복 액세서리 제조업,의복/모피,28,6.017897804176138
116,기타 사업지원 서비스업,사업시설/사업지원/임대업,23,-6.867838671576695
117,무점포 소매업,도매/소매,20,-2.2380465718564744
118,낙농제품 및 식용빙과류 제조업,식료품,20,-4.428713748646535
119,보험 및 연금관련 서비스업,금융,20,
120,실내건축 및 건축마무리 공사업,건설업,18,
121,편조의복 제조업,의복/모피,17,
122,악기 제조업,기타제조업,16,-3.984343667007772
123,산업용 농·축산물 및 동·식물 도매업,도매/소매,16,
124,그외 기타 개인 서비스업,기타개인서비스,15,-4.605170185988092
125,음식점업,숙박업,10,4.573421487673511
126,"서적, 잡지 및 기타 인쇄물 출판업",인쇄/기록매체복제,9,-5.861102729244738
127,건물설비 설치 공사업,건설업,8,4.043599363216865
128,나무제품 제조업,목재/나무,8,inf
129,"가죽, 가방 및 유사제품 제조업",가죽/가방/신발,5,2.3025850929940472
130,교육지원 서비스업,전문/과학/기술,5,
131,"도축, 육류 가공 및 저장 처리업",운수/창고업,2,
0,xxx0,자동차용 엔진 및 자동차 제조업,1255,-4.039317754
1,xxx1,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1120,-3.039865108
2,xxx2,통신 및 방송 장비 제조업,909,3.637048626
3,xxx3,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",907,-4.403840137
4,xxx4,반도체 제조업,766,-3.636012235
5,xxx5,기초 의약물질 및 생물학적 제제 제조업,763,2.550190737
6,xxx6,1차 철강 제조업,716,-3.862695525
7,xxx7,금융 지원 서비스업,657,-4.254172764
8,xxx8,전자부품 제조업,657,-3.832265645
9,xxx9,통신 및 방송 장비 제조업,559,-3.506660115
10,xxx10,기초 화학물질 제조업,540,-3.317201344
11,xxx11,소프트웨어 개발 및 공급업,529,5.731568204
12,xxx12,전기 통신업,520,4.237445406
13,xxx13,의약품 제조업,519,-3.861358253
14,xxx14,기타 정보 서비스업,496,-3.829400809
15,xxx15,일차전지 및 축전지 제조업,485,3.700949458
16,xxx16,전자부품 제조업,479,-3.144899885
17,xxx17,소프트웨어 개발 및 공급업,478,5.485898776
18,xxx18,소프트웨어 개발 및 공급업,475,-3.649498545
19,xxx19,"건축기술, 엔지니어링 및 관련 기술 서비스업",468,-3.233598486
20,xxx20,기초 화학물질 제조업,463,-4.45617668
21,xxx21,일차전지 및 축전지 제조업,456,-3.163106476
22,xxx22,종합 소매업,442,-3.60833675
23,xxx23,기초 의약물질 및 생물학적 제제 제조업,437,-3.991359748
24,xxx24,의약품 제조업,427,-3.960485021
25,xxx25,오디오물 출판 및 원판 녹음업,416,3.789420683
26,xxx26,1차 비철금속 제조업,411,-4.008451915
27,xxx27,기초 의약물질 및 생물학적 제제 제조업,404,-2.099217391
28,xxx28,일차전지 및 축전지 제조업,394,-0.9924920617
29,xxx29,소프트웨어 개발 및 공급업,393,-3.750636712
30,xxx30,의약품 제조업,392,-3.643615674
31,xxx31,소프트웨어 개발 및 공급업,391,1.275519956
32,xxx32,자동차용 엔진 및 자동차 제조업,391,-3.841927727
33,xxx33,자동차 신품 부품 제조업,389,-2.675831481
34,xxx34,전자부품 제조업,380,3.563716311
35,xxx35,기타 화학제품 제조업,370,-3.193731252
36,xxx36,전기 통신업,370,3.708210911
37,xxx37,석유 정제품 제조업,364,-3.734552883
38,xxx38,기타 식품 제조업,361,-3.839699755
39,xxx39,"영화, 비디오물, 방송프로그램 제작 및 배급업",355,-2.981547639
40,xxx40,보험업,338,-3.922952076
41,xxx41,자동차 신품 부품 제조업,334,4.174825322
42,xxx42,의약품 제조업,327,-3.445675537
43,xxx43,기초 의약물질 및 생물학적 제제 제조업,326,-2.144700291
44,xxx44,전기 통신업,325,-2.565075247
45,xxx45,은행 및 저축기관,317,3.377212276
46,xxx46,기타 전문 도매업,310,-4.093855684
47,xxx47,자연과학 및 공학 연구개발업,303,-3.159468441
48,xxx48,기타 화학제품 제조업,302,-3.494636298
49,xxx49,텔레비전 방송업,298,-4.650289269
50,xxx50,소프트웨어 개발 및 공급업,297,6.710781445
51,xxx51,"내화, 비내화 요업제품 제조업",297,2.869148121
52,xxx52,전자부품 제조업,289,-3.459662131
53,xxx53,의약품 제조업,288,3.26913766
54,xxx54,광고업,288,-3.349407079
55,xxx55,특수 목적용 기계 제조업,286,-4.050033108
56,xxx56,광고업,283,-3.910844455
57,xxx57,기타 금융업,283,-3.841302567
58,xxx58,"영화, 비디오물, 방송프로그램 제작 및 배급업",282,-4.179966773
59,xxx59,기타 상품 전문 소매업,281,-3.002824502
60,xxx60,기타 금융업,277,-3.864835117
61,xxx61,오디오물 출판 및 원판 녹음업,272,-3.471006913
62,xxx62,소프트웨어 개발 및 공급업,270,-4.103394398
63,xxx63,전자부품 제조업,269,-3.88565613
64,xxx64,종합 소매업,269,5.821703185
65,xxx65,오디오물 출판 및 원판 녹음업,267,3.805193948
66,xxx66,자연과학 및 공학 연구개발업,266,6.405663335
67,xxx67,기초 화학물질 제조업,263,-2.876285952
68,xxx68,석유 정제품 제조업,262,-2.725705136
69,xxx69,텔레비전 방송업,261,3.34287042
70,xxx70,해상 운송업,255,-3.39058318
71,xxx71,항공 여객 운송업,249,4.458355318
72,xxx72,봉제의복 제조업,246,-3.403903743
73,xxx73,자연과학 및 공학 연구개발업,245,4.330565932
74,xxx74,기타 화학제품 제조업,245,-3.938870255
75,xxx75,기타 전문 서비스업,240,
76,xxx76,선박 및 보트 건조업,240,-4.865701269
77,xxx77,고무제품 제조업,238,-3.809569229
78,xxx78,1차 철강 제조업,236,-3.838042223
79,xxx79,일차전지 및 축전지 제조업,234,-2.163725596
80,xxx80,기타 화학제품 제조업,234,6.582332879
81,xxx81,기초 화학물질 제조업,232,-2.847312268
82,xxx82,기타 금융업,232,1.198653643
83,xxx83,종합 소매업,231,-3.667721229
84,xxx84,오디오물 출판 및 원판 녹음업,231,-4.151568109
85,xxx85,소프트웨어 개발 및 공급업,230,-6.136881547
86,xxx86,운송장비 임대업,230,3.768754924
87,xxx87,"섬유, 의복, 신발 및 가죽제품 소매업",229,-3.545946551
88,xxx88,일반 목적용 기계 제조업,225,-1.119828128
89,xxx89,종합 소매업,223,-3.296749209
90,xxx90,소프트웨어 개발 및 공급업,221,-1.865867441
91,xxx91,소프트웨어 개발 및 공급업,216,3.55961246
92,xxx92,기계장비 및 관련 물품 도매업,215,-3.32887672
93,xxx93,기타 화학제품 제조업,214,-4.755886983
94,xxx94,"구조용 금속제품, 탱크 및 증기발생기 제조업",209,-1.883247602
95,xxx95,자연과학 및 공학 연구개발업,209,1.299717861
96,xxx96,의약품 제조업,208,-4.435438724
97,xxx97,특수 목적용 기계 제조업,208,-0.6539264674
98,xxx98,"항공기,우주선 및 부품 제조업",208,-2.771108337
99,xxx99,전자부품 제조업,207,-2.979030424
100,xxx100,전기업,204,4.523492155
101,xxx101,재 보험업,202,-3.683444774
102,xxx102,전자부품 제조업,201,-3.121146232
103,xxx103,기타 상품 전문 소매업,200,4.219507705
104,xxx104,자동차 신품 부품 제조업,199,-2.593492397
105,xxx105,"항공기,우주선 및 부품 제조업",196,-3.520848425
106,xxx106,소프트웨어 개발 및 공급업,194,-4.297984055
107,xxx107,특수 목적용 기계 제조업,194,-3.64137712
108,xxx108,토목 건설업,194,-3.924909356
109,xxx109,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",194,
110,xxx110,의료용품 및 기타 의약 관련제품 제조업,193,
111,xxx111,기타 금융업,187,-3.347677585
112,xxx112,기타 운송관련 서비스업,186,-2.834021671
113,xxx113,전자부품 제조업,185,2.818801565
114,xxx114,1차 철강 제조업,185,-6.921178299
115,xxx115,통신 및 방송 장비 제조업,184,4.041810987
116,xxx116,의료용 기기 제조업,184,-3.978113117
117,xxx117,통신 및 방송 장비 제조업,183,-2.445904492
118,xxx118,선박 및 보트 건조업,181,4.123384715
119,xxx119,광고업,180,0.859132318
120,xxx120,일차전지 및 축전지 제조업,179,4.330439266
121,xxx121,기타 화학제품 제조업,177,-4.101849288
122,xxx122,기타 정보 서비스업,177,
123,xxx123,의약품 제조업,176,-4.122050615
124,xxx124,소프트웨어 개발 및 공급업,176,-4.143257527
125,xxx125,종합 소매업,175,5.761152506
126,xxx126,기타 금융업,174,-4.114198898
127,xxx127,일차전지 및 축전지 제조업,174,-5.668691155
128,xxx128,소프트웨어 개발 및 공급업,173,
129,xxx129,자연과학 및 공학 연구개발업,172,-3.792785424
130,xxx130,기초 화학물질 제조업,172,-5.678549849
131,xxx131,자연과학 및 공학 연구개발업,171,
132,xxx132,자연과학 및 공학 연구개발업,169,
133,xxx133,상품 중개업,169,-3.232862067
134,xxx134,"항공기,우주선 및 부품 제조업",168,-2.706627726
135,xxx135,전자부품 제조업,168,3.685898826
136,xxx136,건물 건설업,168,-1.546006198
137,xxx137,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",167,
138,xxx138,기타 식품 제조업,166,3.304900313
139,xxx139,광고업,164,5.342061916
140,xxx140,광고업,164,
141,xxx141,기타 금융업,164,-3.266503874
142,xxx142,토목 건설업,164,4.666272934
143,xxx143,자동차 신품 부품 제조업,163,-3.12791412
144,xxx144,기타 식품 제조업,162,-3.335515088
145,xxx145,여행사 및 기타 여행보조 서비스업,162,-3.33593238
146,xxx146,전자부품 제조업,162,1.30933332
147,xxx147,1차 철강 제조업,161,4.653664536
148,xxx148,기타 전기장비 제조업,160,
149,xxx149,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",160,-2.199637124
150,xxx150,상품 중개업,159,-1.950372351
151,xxx151,특수 목적용 기계 제조업,158,-2.83097704
152,xxx152,의료용 기기 제조업,157,-2.43390529
153,xxx153,반도체 제조업,157,3.512115673
154,xxx154,자연과학 및 공학 연구개발업,157,
155,xxx155,소프트웨어 개발 및 공급업,155,
156,xxx156,무기 및 총포탄 제조업,155,-3.357876107
157,xxx157,의료용품 및 기타 의약 관련제품 제조업,155,-3.646787239
158,xxx158,통신 및 방송 장비 제조업,155,-4.125145842
159,xxx159,연료용 가스 제조 및 배관공급업,153,-3.563264538
160,xxx160,기타 금융업,153,inf
161,xxx161,봉제의복 제조업,152,-3.798343381
162,xxx162,비알코올음료 및 얼음 제조업,151,-3.502283425
163,xxx163,선박 및 보트 건조업,151,3.905378463
164,xxx164,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",150,3.572037756
165,xxx165,도로 화물 운송업,150,-4.51485136
166,xxx166,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",149,-4.089235835
167,xxx167,특수 목적용 기계 제조업,148,-3.702302474
168,xxx168,기타 전문 도매업,148,3.231085989
169,xxx169,의료용 기기 제조업,146,0.9552141919
170,xxx170,특수 목적용 기계 제조업,143,
171,xxx171,특수 목적용 기계 제조업,141,
172,xxx172,사진장비 및 광학기기 제조업,137,
173,xxx173,의료용 기기 제조업,137,3.21256347
